Encrypted_ID,Name_ZH,Name_EN,City_ZH,City_EN,Latitude_GCJ02,Longitude_GCJ02,Label_ZH,Label_EN
800299,中国竹艺城,China Bamboo Art City,眉山市,Meishan City,29.81084024,103.8305224,博物馆,museum
800300,清徐白石沟生态旅游区,Qingxu Baishigou Ecological Tourism Area,太原市,Taiyuan City,37.65177594,112.3177406,采摘;户外,picking;outdoor
800302,晋祠博物馆,Jinci Museum,太原市,Taiyuan City,37.70681272,112.4425204,博物馆,museum
800305,古林公园,Gulin Park,南京市,Nanjing City,32.06614518,118.7561538,公园,park
800307,高岭山,Gaoling Mountain,景德镇市,Jingdezhen City,29.47940644,117.5371033,,
800309,阅江楼,Yuejianglou,南京市,Nanjing City,32.09391038,118.746652,古建筑;遗址;江南四大名楼,ancient buildings;historic site;four famous buildings in Jiangnan
800310,大洪山绿林寨,Dahong Mountain Lvlinzhai,荆门市,Jingmen City,31.3181617,113.0940382,风景名胜,scenic
800311,北京文津街,Beijing Wenjin Street,北京市,Beijing City,39.92267875,116.3853238,城市标志建筑,urban landmark building
800312,火石寨国家地质（森林）公园,Huoshizhai National Geological (Forest) Park,固原市,Guyuan City,36.12997638,105.7825299,公园;石窟,park;grottoes
800313,海潮湖,Haichao Lake,泸州市,Luzhou City,28.901953,105.3199746,山水;风景名胜,landscape;scenic
800317,王国维故居,Guowei Former Residence,嘉兴市,Jiaxing City,30.40196506,120.5374569,故居,former residence
800318,大围山国家森林公园,Daweishan National Forest Park,长沙市,Changsha City,28.42346595,114.0776786,山川;公园,mountains and rivers;park
800320,云中大漈,Yunzhongdaji,丽水市,Lishui City,27.80683503,119.5940067,山川;古建筑,mountains and rivers;ancient buildings
800323,扎堆,Getting Together,昌都市,Changdu City,29.05437577,98.07618452,,
800333,南山文化旅游区,Nanshan Cultural Tourism Zone,三亚市,Sanya City,18.3058478,109.2129891,山川,mountains and rivers
800335,金街,Jinjie,天津市,Tianjin City,39.12720453,117.2013448,运动活动;度假村;公园乐园;徒步;建筑人文;特色街区,athletic activity;resort;park paradise;hiking;architectural humanities;characteristic blocks
800339,陆家嘴中心绿地,Lujiazui Center Green Land,上海市,Shanghai City,31.23788715,121.5059431,休闲娱乐,leisure and entertainment
800340,黄粱梦吕仙祠,Huangliangmeng Lvxian Temple,邯郸市,Handan City,36.67271713,114.4888248,古建筑,ancient buildings
800344,古琴台,Guqin Terrace,武汉市,Wuhan City,30.55418686,114.2639537,古建筑,ancient buildings
800345,太平天国金田起义旧址,Former Site of Jintian Uprising in Taiping Rebellion,贵港市,Guigang City,23.53040799,110.1106672,遗址,historic site
800346,西湖乐园,Xihu Wonder World,东莞市,Dongguan city,22.96797156,113.7547457,漂流;自助游,drifting;self-help tour
800352,三娘湾,Sanniang Bay,钦州市,Qinzhou City,21.61869982,108.7565992,海滨海岛,coastal island
800357,七都溪,Qidouxi,宁德市,Ningde City,27.07912532,120.1189048,山水;风景名胜,landscape;scenic
800359,梧桐山,Wutong Mountain,深圳市,Shenzhen,22.59878289,114.1951576,公园,park
800362,曼听公园,Manting Park,西双版纳傣族自治州,Xishuangbanna Dai Autonomous Prefecture,21.99156249,100.806922,动物;佛寺;歌舞;铜像;园林;表演;村寨;亲子;篝火晚会;水灯,animal;buddhist temple;song and dance;bronze statue;garden;performance;villages;parent-child;bonfire party;water lanterns
800363,楠竹海,Nanzhu Sea,遵义市,Zunyi City,28.48822083,106.1244767,赏叶;赏花;摄影,foliage;flower viewing;photography
800364,大连星海国际会展中心,Dalian Xinghai International Convention and Exhibition Center,大连市,Dalian City,38.88753966,121.5889901,其他观光场地;独家热卖,other sightseeing venues;exclusive hot sale
800370,品字三坊,Pinzisanfang,昆明市,Kunming City,25.03374638,102.7108612,观光;户外;摄影;古迹游,sightseeing;outdoor;photography;historic site tour
800371,诸仙洞,Zhuxian Cave,景德镇市,Jingdezhen City,29.22120684,117.322253,地质景观,geological landscape
800373,流溪河国家森林公园,Liuxi River National Forest Park,广州市,Guangzhou City,23.75063736,113.7834393,江河湖泊;公园,rivers and lakes;park
800374,顺德生态乐园,Shunde Ecological Park,佛山市,Foshan City,22.87228865,113.2849183,休闲娱乐;游乐园,leisure and entertainment;amusement park
800375,杨家岭革命旧址,Yangjialing Revolutionary Site,延安市,Yan'an City,36.6165992,109.4649415,遗址,historic site
800377,招远黄金博物馆,Zhaoyuan Gold Museum,烟台市,Yantai City,37.35993626,120.3850878,公园,park
800380,天目山景区,Tianmu Mountain Scenic Area,杭州市,Hangzhou City,30.33023256,119.4509132,山川,mountains and rivers
800382,重庆基督教联合礼拜堂,Chongqing Christian United Chapel,重庆市,Chongqing City,29.55321388,106.5762456,,
800385,魏氏庄园,Weishizhuang Park,滨州市,Binzhou,37.29135657,117.7532048,风景名胜;名胜古迹;庄园,scenic;places of interest;manor
800389,青山湖,Qingshanhu,白山市,Baishan City,41.93802775,126.3917132,山水;风景名胜;休闲娱乐;游船,landscape;scenic;leisure and entertainment;cruise ship
800394,扎塘寺,Zhatang Temple,山南市,Shannan,29.24474826,91.33743602,寺庙,temple
800396,兴光村朝鲜族民俗村,Xingguang Village Korean Folk Village,吉林市,Jilin City,43.62769641,126.3962024,,
800397,龙山岛,Longshan Island,杭州市,Hangzhou City,29.60607393,118.9802497,鸟语花香;林木葱翠,birds and flowers;the trees are green
800400,三门海,Sanmenhai,河池市,Hechi City,24.40828019,107.0377323,摄影,photography
800401,两江源头,Source of Two Rivers,兰州市,Lan'Zhou City,36.0633306,103.8241572,,
800404,云洞岩,Yundongyan,漳州市,Zhangzhou City,24.49661188,117.7488538,古建筑,ancient buildings
800406,苏州古运河,Suzhou Ancient Canal,苏州市,Suzhou City,31.2919241,120.6116662,江河湖泊,rivers and lakes
800407,东澳岛,Dongao Island,珠海市,Zhuhai City,22.01787314,113.7081528,海滩;水上项目;烽火台;码头;度假村;美食;石刻,beach;water projects;beacon tower;wharf;resort;delicious food;stone carving
800411,南沙湿地,Nansha Wetland,广州市,Guangzhou City,22.60919638,113.6568219,公园;湿地,park;wetland
800413,启园,Qiyuan,苏州市,Suzhou City,31.09714749,120.4137486,公园,park
800415,王安石纪念馆,Wang Anshi Memorial Hall,抚州市,Fuzhou City,27.97000444,116.3584858,展览馆,exhibition hall
800417,寒山寺,Hanshan Temple,上海市,Shanghai City,31.62354748,121.4021616,寺庙,temple
800420,张太雷故居,Former Residence of Zhang Tailei,常州市,Changzhou City,31.76396648,119.9615952,历史遗迹;博物馆;展馆展览;名人故居,historical sites;museum;exhibition hall;celebrities' former residences
800421,美丽之冠文化会展中心,Beauty Crown Cultural Exhibition Center,三亚市,Sanya City,18.25372617,109.5196294,城市标志建筑,urban landmark building
800428,瞿家湾,Qu Jiawan,荆州市,Jingzhou City,29.96622726,113.194642,主题体验;休闲娱乐,theme experience;leisure and entertainment
800430,连城冠豸山,Liancheng Guanchan Mountain,龙岩市,Longyan City,25.7095842,116.7879207,山川,mountains and rivers
800432,月岭古民居,Yueling Ancient Dwelling,桂林市,Guilin City,25.65907603,111.2093765,古建筑,ancient buildings
800434,鲤鱼溪,Liyu River,宁德市,Ningde City,27.12050627,119.3002234,山水;风景名胜,landscape;scenic
800436,十渡风景名胜区,Shidu Scenic Area,北京市,Beijing City,39.63560964,115.5928493,河景;瀑布;拓展;美食;缆车;篝火,river view;waterfall;expand;delicious food;cable car;bonfire
800442,羊卓雍措,Yangzhuoyongcuo,山南市,Shannan,29.07535937,90.69762585,江河湖泊,rivers and lakes
800444,下密院,Xiamiyuan,拉萨市,Lhasa City,29.65291486,91.13579737,寺庙,temple
800445,苏州古城遗址群,Suzhou Ancient City Ruins Group,苏州市,Suzhou City,31.25424659,120.5062331,,
800446,青岩古镇,Qingyan Ancient Town,贵阳市,Guiyang City,26.33291164,106.6888715,古镇;城墙;工艺品;古建筑;美食;巷子;寺庙;教堂;文艺;少数民族;外景地,ancient town;city wall;crafts;ancient buildings;delicious food;alley;temple;church;literature and art;minority;locations
800449,三门塘,Sanmentang,黔东南苗族侗族自治州,Qiandongnan Miao and Dong Autonomous Prefecture,26.85921654,109.2704894,古镇,ancient town
800457,学宫大成殿,Xuegong Hall,肇庆市,Zhaoqing City,23.14186283,111.7618121,古建筑,ancient buildings
800459,云林寺,Yunlin Temple,大同市,Datong City,40.34805923,113.7282581,进香;古迹游;登山,pilgrimage;historic site tour;mountaineering
800460,月岛,Moon Island,唐山市,Tangshan City,39.15828007,118.8749447,海滨海岛,coastal island
800464,鼓浪屿环岛海滨浴场,Gulangyu Huandao Beach,厦门市,Xiamen City,24.42539529,118.1232621,,
800469,土匪洞,Tuidong,韶关市,Shaoguan City,25.02944783,113.7453317,地质景观,geological landscape
800471,荷花奇境(三水荷花世界),Lotus Wonderland (Sanshui Lotus World),佛山市,Foshan City,23.19643527,112.9077459,公园,park
800472,明长城遗址,Ming Great Wall Site,嘉峪关市,Jiayuguan City,39.80369148,98.2241867,世界遗产;遗址,World Heritage;historic site
800477,北坑,Beikeng,温州市,Wenzhou City,28.32527766,120.83806,避暑;户外,summer;outdoor
800479,金海水晶宫,Jinhai Crystal Palace,本溪市,Benxi City,41.4643159,123.7249151,,
800481,云蒙峡,Yunmeng Gorge,北京市,Beijing City,40.52426266,116.7937487,山水;风景名胜,landscape;scenic
800483,肃亲王府遗址,Su Prince Mansion Site,大连市,Dalian City,38.81080871,121.2354863,遗址,historic site
800484,崀山国家级风景区,Langshan National Scenic Area,邵阳市,Shaoyang City,26.35366307,110.8069763,地质景观;地质公园;本地;尝鲜;周边度假;城市好玩;4月;秋游;5月;周边;2月;1月;9月;11月;8月;7月,geological landscape;geopark;local;early adopters;surrounding resort;city fun;April;autumn tour;May;surrounding;February;January;September;November;August;July
800487,玉带河,Yudaihe,南昌市,Nanchang City,28.69562159,115.938846,山水,landscape
800488,华侨亚热带植物引种园,Overseas Chinese Subtropical Plant Introduction Garden,厦门市,Xiamen City,24.44230459,118.0645889,赏叶;赏花;摄影,foliage;flower viewing;photography
800489,紫金山天文台,Purple Mountain Observatory,南京市,Nanjing City,32.06573953,118.8291487,展馆展览;科技馆,exhibition hall;science and technology museum
800491,柳湖公园,Liuhu Park,平凉市,Pingliang City,35.54520834,106.6647955,其他公园;周边度假;城市好玩,other parks;surrounding resort;city fun
800493,满洲里国门景区,Manzhouli Guomen Scenic Area,呼伦贝尔市,Hulunbeir City,49.62723338,117.3563166,城市标志建筑,urban landmark building
800495,姑婆山,Guposhan,贺州市,Hezhou City,24.63616949,111.5139174,山川;瀑布;公园,mountains and rivers;waterfall;park
800497,杭州乐园,Hangzhou Paradise,杭州市,Hangzhou City,30.16225749,120.2435013,自助游;游乐园;玩乐;乐园;自驾游,self-help tour;amusement park;play;paradise;self-driving tour
800498,东坝,Dongba,昌都市,Changdu City,29.67290809,97.84848664,美食;摄影,delicious food;photography
800499,林语堂故居,Lin Yutang Former Residence,台北市,Taipei City,25.10925,121.546356,展览馆,exhibition hall
800502,占里侗寨,Zhanli Dongzhai,黔东南苗族侗族自治州,Qiandongnan Miao and Dong Autonomous Prefecture,25.8420918,108.9153287,古建筑,ancient buildings
800504,五人墓,Five People's Tomb,苏州市,Suzhou City,31.3291005,120.5851855,陵墓陵园,mausoleum cemetery
800506,黄龙溪,Huanglongxi,成都市,Chengdu City,30.3320332,103.9530688,美食;古镇;文艺;客栈;古韵;廊桥;亭台楼阁;古建筑;寺庙;小溪;古树,delicious food;ancient town;literature and art;inn;ancient rhyme;covered bridge;pavilions;ancient buildings;temple;creek;ancient tree
800508,花博园,Huaboyuan,漳州市,Zhangzhou City,24.32942404,117.6824732,植物园;公园,botanical garden;park
800510,成都体育中心,Chengdu Sports Center,成都市,Chengdu City,30.66440536,104.0661473,体育馆;演出,gymnasium;performance
800515,钱币博物馆,Coin Museum,宁波市,Ningbo City,29.87242498,121.5561039,,
800517,密云文庙,Miyun Confucian Temple,北京市,Beijing City,40.37635058,116.8430729,,
800521,鼓楼,Gulou,天津市,Tianjin City,39.14166313,117.1812247,古建筑,ancient buildings
800523,党家村,Dangjia Village,渭南市,Weinan City,35.54419311,110.4768578,古建筑,ancient buildings
800524,金花茶公园,Jinhuacha Park,南宁市,NanNing City,22.81852326,108.3554812,赏花;摄影;儿童乐园,flower viewing;photography;children's playground
800526,大夫山森林公园,Dafushan Forest Park,广州市,Guangzhou City,22.94988873,113.3087813,山川;公园,mountains and rivers;park
800528,北海湿地,Beihai Wetland,保山市,Baoshan City,25.12005555,98.55847031,湿地,wetland
800531,北京理工大学,Beijing Institute of Technology,北京市,Beijing City,39.96001742,116.3215502,大学,University
800532,城隍庙,Chenghuangmiao,苏州市,Suzhou City,31.31082551,120.6189802,寺庙,temple
800533,宽窄巷子,Kuanzhai Alley,成都市,Chengdu City,30.66335428,104.0551564,古巷;美食;步行街;民俗;博物馆;工艺品;古建筑;夜景;酒吧;创意市集;茶馆,ancient lane;delicious food;pedestrian street;folk;museum;crafts;ancient buildings;night scene;bar;creative market;teahouse
800534,艾丁湖,Aiding Lake,吐鲁番市,Turpan City,42.66907087,89.2570412,摄影;玩乐;观光,photography;play;sightseeing
800535,武汉动物园,Wuhan Zoo,武汉市,Wuhan City,30.54213854,114.2420643,动植物园;动物园,zoo and botanical garden;zoo
800537,颜庙,Yanmiao,济宁市,Jining City,35.60017445,116.9944177,寺庙,temple
800542,海王九岛,Haiwang Jiudao,大连市,Dalian City,39.23945977,122.7342314,玩水;避暑;玩乐,play with water;summer;play
800543,波密,Bomi,林芝市,Nyingchi City,29.06279856,92.93470414,菌类松茸;羊肚菌;商品粮,fungus tricholoma matsutake;morchella;commodity grain
800545,香港艺术馆,Hong Kong Museum of Art,香港特别行政区,Hong Kong Special Administrative Region,22.2908615,114.177095,人文艺术馆;场馆参观,humanities art museum;venue visit
800547,世界恐龙谷恐龙遗址公园,World Dinosaur Valley Dinosaur Ruins Park,楚雄彝族自治州,Chuxiong Yi Autonomous Prefecture,24.96982094,102.0715124,展览馆;公园,exhibition hall;park
800549,天台山伍龙寺,Tiantai Mountain Wulong Temple,安顺市,Anshun City,26.29335493,106.0975411,寺庙,temple
800550,南宁动物园,Nanning Zoo,南宁市,NanNing City,22.83503763,108.2682793,动物园,zoo
